,Region,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Size
0,1,2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,151315
1,1,2010-02-12,1641957.44,38.51,2.548,211.2421698,8.106,151315
2,1,2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106,151315
3,1,2010-02-26,1409727.59,46.63,2.561,211.3196429,8.106,151315
4,1,2010-03-05,1554806.68,46.5,2.625,211.3501429,8.106,151315
5,1,2010-03-12,1439541.59,57.79,2.667,211.3806429,8.106,151315
6,1,2010-03-19,1472515.79,54.58,2.72,211.215635,8.106,151315
7,1,2010-03-26,1404429.92,51.45,2.732,211.0180424,8.106,151315
8,1,2010-04-02,1594968.28,62.27,2.719,210.8204499,7.808,151315
9,1,2010-04-09,1545418.53,65.86,2.77,210.6228574,7.808,151315
10,1,2010-04-16,1466058.28,66.32,2.808,210.4887,7.808,151315
11,1,2010-04-23,1391256.12,64.84,2.795,210.4391228,7.808,151315
12,1,2010-04-30,1425100.71,67.41,2.78,210.3895456,7.808,151315
13,1,2010-05-07,1603955.12,72.55,2.835,210.3399684,7.808,151315
14,1,2010-05-14,1494251.5,74.78,2.854,210.3374261,7.808,151315
15,1,2010-05-21,1399662.07,76.44,2.826,210.6170934,7.808,151315
16,1,2010-05-28,1432069.95,80.44,2.759,210.8967606,7.808,151315
17,1,2010-06-04,1615524.71,80.69,2.705,211.1764278,7.808,151315
18,1,2010-06-11,1542561.09,80.43,2.668,211.4560951,7.808,151315
19,1,2010-06-18,1503284.06,84.11,2.637,211.4537719,7.808,151315
20,1,2010-06-25,1422711.6,84.34,2.653,211.3386526,7.808,151315
21,1,2010-07-02,1492418.14,80.91,2.669,211.2235333,7.787,151315
22,1,2010-07-09,1546074.18,80.48,2.642,211.108414,7.787,151315
23,1,2010-07-16,1448938.92,83.15,2.623,211.1003854,7.787,151315
24,1,2010-07-23,1385065.2,83.36,2.608,211.2351443,7.787,151315
25,1,2010-07-30,1371986.6,81.84,2.64,211.3699032,7.787,151315
26,1,2010-08-06,1605491.78,87.16,2.627,211.5046621,7.787,151315
27,1,2010-08-13,1508237.76,87.0,2.692,211.6394211,7.787,151315
28,1,2010-08-20,1513080.49,86.65,2.664,211.6033633,7.787,151315
29,1,2010-08-27,1449142.92,85.22,2.619,211.5673056,7.787,151315
30,1,2010-09-03,1540163.53,81.21,2.577,211.5312479,7.787,151315
31,1,2010-09-10,1507460.69,78.69,2.565,211.4951902,7.787,151315
32,1,2010-09-17,1430378.67,82.11,2.582,211.5224596,7.787,151315
33,1,2010-09-24,1351791.03,80.94,2.624,211.5972246,7.787,151315
34,1,2010-10-01,1453329.5,71.89,2.603,211.6719895,7.838,151315
35,1,2010-10-08,1508239.93,63.93,2.633,211.7467544,7.838,151315
36,1,2010-10-15,1459409.1,67.18,2.72,211.8137436,7.838,151315
37,1,2010-10-22,1345454.0,69.86,2.725,211.8612937,7.838,151315
38,1,2010-10-29,1384209.22,69.64,2.716,211.9088438,7.838,151315
39,1,2010-11-05,1551659.28,58.74,2.689,211.9563939,7.838,151315
40,1,2010-11-12,1494479.49,59.61,2.728,212.003944,7.838,151315
41,1,2010-11-19,1483784.18,51.41,2.771,211.8896737,7.838,151315
42,1,2010-11-26,1955624.11,64.52,2.735,211.7484333,7.838,151315
