Region,DMZ,Date,Weekly_Sales,IsHoliday,DMZ
1,1,5/2/2010,24924.5,FALSE,1
1,1,12/2/2010,46039.49,TRUE,1
1,1,19/2/10,41595.55,FALSE,1
1,1,26/2/10,19403.54,FALSE,1
1,1,5/3/2010,21827.9,FALSE,1
1,1,12/3/2010,21043.39,FALSE,1
1,1,19/3/10,22136.64,FALSE,1
1,1,26/3/10,26229.21,FALSE,1
1,1,2/4/2010,57258.43,FALSE,1
1,1,9/4/2010,42960.91,FALSE,1
1,1,16/4/10,17596.96,FALSE,1
1,1,23/4/10,16145.35,FALSE,1
1,1,30/4/10,16555.11,FALSE,1
1,1,7/5/2010,17413.94,FALSE,1
1,1,14/5/10,18926.74,FALSE,1
1,1,21/5/10,14773.04,FALSE,1
1,1,28/5/10,15580.43,FALSE,1
1,1,4/6/2010,17558.09,FALSE,1
1,1,11/6/2010,16637.62,FALSE,1
1,1,18/6/10,16216.27,FALSE,1
1,1,25/6/10,16328.72,FALSE,1
1,1,2/7/2010,16333.14,FALSE,1
1,1,9/7/2010,17688.76,FALSE,1
1,1,16/7/10,17150.84,FALSE,1
1,1,23/7/10,15360.45,FALSE,1
1,1,30/7/10,15381.82,FALSE,1
1,1,6/8/2010,17508.41,FALSE,1
1,1,13/8/10,15536.4,FALSE,1
1,1,20/8/10,15740.13,FALSE,1
1,1,27/8/10,15793.87,FALSE,1
1,1,3/9/2010,16241.78,FALSE,1
1,1,10/9/2010,18194.74,TRUE,1
1,1,17/9/10,19354.23,FALSE,1
1,1,24/9/10,18122.52,FALSE,1
1,1,1/10/2010,20094.19,FALSE,1
1,1,8/10/2010,23388.03,FALSE,1
1,1,15/10/10,26978.34,FALSE,1
1,1,22/10/10,25543.04,FALSE,1
1,1,29/10/10,38640.93,FALSE,1
1,1,5/11/2010,34238.88,FALSE,1
1,1,12/11/2010,19549.39,FALSE,1
1,1,19/11/10,19552.84,FALSE,1
1,1,26/11/10,18820.29,TRUE,1
1,1,3/12/2010,22517.56,FALSE,1
1,1,10/12/2010,31497.65,FALSE,1
1,1,17/12/10,44912.86,FALSE,1
1,1,24/12/10,55931.23,FALSE,1
1,1,31/12/10,19124.58,TRUE,1
1,1,7/1/2011,15984.24,FALSE,1
1,1,14/1/11,17359.7,FALSE,1
1,1,21/1/11,17341.47,FALSE,1
1,1,28/1/11,18461.18,FALSE,1
1,1,4/2/2011,21665.76,FALSE,1
1,1,11/2/2011,37887.17,TRUE,1
1,1,18/2/11,46845.87,FALSE,1
1,1,25/2/11,19363.83,FALSE,1
1,1,4/3/2011,20327.61,FALSE,1
1,1,11/3/2011,21280.4,FALSE,1
1,1,18/3/11,20334.23,FALSE,1
1,1,25/3/11,20881.1,FALSE,1
1,1,1/4/2011,20398.09,FALSE,1
1,1,8/4/2011,23873.79,FALSE,1
1,1,15/4/11,28762.37,FALSE,1
1,1,22/4/11,50510.31,FALSE,1
1,1,29/4/11,41512.39,FALSE,1
1,1,6/5/2011,20138.19,FALSE,1
1,1,13/5/11,17235.15,FALSE,1
1,1,20/5/11,15136.78,FALSE,1
1,1,27/5/11,15741.6,FALSE,1
1,1,3/6/2011,16434.15,FALSE,1
1,1,10/6/2011,15883.52,FALSE,1
1,1,17/6/11,14978.09,FALSE,1
1,1,24/6/11,15682.81,FALSE,1
1,1,1/7/2011,15363.5,FALSE,1
1,1,8/7/2011,16148.87,FALSE,1
1,1,15/7/11,15654.85,FALSE,1
1,1,22/7/11,15766.6,FALSE,1
1,1,29/7/11,15922.41,FALSE,1
1,1,5/8/2011,15295.55,FALSE,1
1,1,12/8/2011,14539.79,FALSE,1
1,1,19/8/11,14689.24,FALSE,1
1,1,26/8/11,14537.37,FALSE,1
1,1,2/9/2011,15277.27,FALSE,1
1,1,9/9/2011,17746.68,TRUE,1
1,1,16/9/11,18535.48,FALSE,1
1,1,23/9/11,17859.3,FALSE,1
1,1,30/9/11,18337.68,FALSE,1
1,1,7/10/2011,20797.58,FALSE,1
1,1,14/10/11,23077.55,FALSE,1
1,1,21/10/11,23351.8,FALSE,1
1,1,28/10/11,31579.9,FALSE,1
1,1,4/11/2011,39886.06,FALSE,1
1,1,11/11/2011,18689.54,FALSE,1
1,1,18/11/11,19050.66,FALSE,1
1,1,25/11/11,20911.25,TRUE,1
1,1,2/12/2011,25293.49,FALSE,1
1,1,9/12/2011,33305.92,FALSE,1
1,1,16/12/11,45773.03,FALSE,1
1,1,23/12/11,46788.75,FALSE,1
1,1,30/12/11,23350.88,TRUE,1
1,1,6/1/2012,16567.69,FALSE,1
